code,category,market,asset_type,mentions,context
110017,bond,跨市场,债券,1,中海转债 110017：4.08%。收益率还不错，但不够高。5%以上可以慢慢开始买。
110020,bond,跨市场,债券,1,南山转债 110020：上半年赚得最多的一只转债。年化收益率又回到4.49%了，强烈建议年化5%以上可以慢慢开始买。这个收益率水平我一定会再杀个回马枪的。
150023,sector,深市,股票,1,④您觉得什么时候，把手中的180和100改为150019  150023 150013等这些杠杆基金。始终觉得这类基金只适合做趋势。毕竟多达5倍的杠杆，伤不起。
150061,bond,深市,债券,1,现在折价的杠杆债基有150132、150120、150061、150114、150115。折价率高到低排序。
150114,bond,深市,债券,1,现在折价的杠杆债基有150132、150120、150061、150114、150115。折价率高到低排序。
150115,bond,深市,债券,1,现在折价的杠杆债基有150132、150120、150061、150114、150115。折价率高到低排序。
150120,bond,深市,债券,1,现在折价的杠杆债基有150132、150120、150061、150114、150115。折价率高到低排序。
150173,sector,深市,股票,1,150173 TMT中证A
150194,sector,深市,股票,1,150194 互联网A
150233,sector,深市,股票,1,150233 传媒业A
150235,sector,深市,股票,2,谨慎推荐：150235 券商A150275 一带一A150279 新能A150277 高铁A
150259,sector,深市,股票,2,150259  重组A
150275,sector,深市,股票,1,150275 一带一A
150277,sector,深市,股票,1,150277 高铁A
150279,sector,深市,股票,1,150279 新能A
155151,sector,深市,股票,4,2011-6-155151.753371.6-3.23%-1780.12989.96-5.25%2.02%
156157,sector,深市,股票,1,2011-7-156157.655691.9-0.83%-465.73044.09-3.53%2.70%
159901,broad,深市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
159902,broad,深市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
159920,broad,深市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
159928,broad,深市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
159929,broad,深市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
159938,sector,深市,股票,1,我自己用网格策略在交易的一只基金——医药卫生ETF（159938）——周一会进行1:2拆分。我来说说我会怎么修改之前设定的条件单。
160222,sector,深市,股票,1,食品饮料  （160222）一份 （对应国证食品饮料399396不超过8000点、2016年10月计划）
161017,broad,深市,股票,1,长赢计划目前持仓的增强指数基金有四个，分别是富国量化沪深300（100038）、建信中证500指数增强A（000478）、富国中证红利指数增强（100032）、富国中证500（161017）。其中富国
163115,overseas,深市,股票,1,2011-8-163115.961531.2-2.51%-1584.72969.11-5.91%3.40%
164906,sector,深市,股票,1,恒生科技不用说了吧，没必要担心。那么计划持仓的交银中概(164906)和易方达中海外(006327)，以及网格的中概互联(513050)呢。
165522,overseas,深市,股票,1,2011-9-170117.165522.4-6.55%-4594.72852.39-9.61%3.05%
184229,unknown,深市,未知,1,2011-10-184229.773189.8-13.11%-11039.92588.35-17.97%4.87%
500015,sector,沪市,股票,1,"[单位] %000793.SZ华闻传媒30.2615传媒23,568,617,567.6700-33.5454601801.SH皖新传媒35.2690传媒29,302,000,000.000041.0"
501018,commodity,沪市,商品,1,本月ETF计划准备投入的品种，南方原油（501018）8月2日上午已经成功买入。价位在0.9左右。这个品种是QDII LOF基金，很多朋友并不了解这个基金的特点，我大概简要谈一谈。本人不希望朋友们稀里
510050,broad,沪市,股票,1,50ETF     （510050）一份  （价格不超过2.117（分红调整价格）、2016年8月计划）
510170,broad,沪市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
510180,broad,沪市,股票,2,180ETF   （510180）一份  （价格不超过2.84、2016年10月计划）
510300,broad,沪市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
510500,broad,沪市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
513050,sector,沪市,股票,1,恒生科技不用说了吧，没必要担心。那么计划持仓的交银中概(164906)和易方达中海外(006327)，以及网格的中概互联(513050)呢。
518800,broad,沪市,股票,1,A4：ETF有很多种。在现阶段，我们买卖的是180etf（510180）、100etf（159901）、中小板etf（159902）、300etf（510300）、500etf（510500）、恒生e
